fold,representation,num_cells,accuracy_mean,stability_mean
1,Cell_Uniform,50,0.9736842105263158,0.9919999999999999
1,Cell_Adaptive,85,0.9736842105263158,0.9826666666666667
2,Cell_Uniform,50,0.9298245614035088,0.9673333333333335
2,Cell_Adaptive,80,0.956140350877193,0.9606666666666667
3,Cell_Uniform,50,0.9473684210526315,0.9713333333333334
3,Cell_Adaptive,86,0.956140350877193,0.982
4,Cell_Uniform,50,0.9298245614035088,0.9786666666666668
4,Cell_Adaptive,77,0.9298245614035088,0.994
5,Cell_Uniform,50,0.9469026548672567,1.0
5,Cell_Adaptive,81,0.9734513274336283,1.0
